SRN,frame#,ID,Class,X_min,Y_min,X_max,Y_max,Time,Speed
121,20,1,Car,1319,531,1619,787,0.6667,23.6
122,20,2,Car,296,268,435,362,0.6667,3.05
123,20,3,Car,978,314,1192,499,0.6667,18.98
124,20,4,Car,530,303,734,478,0.6667,11.18
125,20,5,Car,879,662,1166,947,0.6667,34.29
126,20,6,Car,705,463,973,676,0.6667,19.75
127,20,9,Car,422,311,545,373,0.6667,11.07
128,20,11,Car,610,370,855,585,0.6667,10.17
129,21,1,Car,1321,538,1623,795,0.7,27.49
130,21,3,Car,983,313,1200,502,0.7,17.73
131,21,4,Car,529,301,739,482,0.7,5.93
132,21,5,Car,880,669,1171,960,0.7,27.97
133,21,6,Car,712,467,979,679,0.7,30.99
134,21,9,Car,419,306,551,373,0.7,18.95
135,21,11,Car,630,381,852,575,0.7,81.0
136,22,1,Car,1322,536,1635,805,0.7333,7.67
137,22,3,Car,987,315,1204,504,0.7333,16.97
138,22,4,Car,528,300,743,485,0.7333,0.31
139,22,5,Car,879,676,1172,968,0.7333,26.93
140,22,6,Car,714,472,981,681,0.7333,19.64
141,22,9,Car,418,302,554,374,0.7333,10.79
142,22,11,Car,641,387,850,568,0.7333,45.98
143,23,1,Car,1323,538,1644,817,0.7667,9.09
144,23,3,Car,991,315,1210,505,0.7667,16.24
145,23,4,Car,529,299,748,489,0.7667,3.68
146,23,5,Car,871,677,1185,992,0.7667,26.83
147,23,6,Car,717,480,988,691,0.7667,32.9
148,23,9,Car,421,301,555,372,0.7667,12.36
149,23,11,Car,643,389,858,575,0.7667,10.76
150,24,1,Car,1330,545,1649,824,0.8,35.09
151,24,3,Car,995,316,1212,507,0.8,15.37
152,24,4,Car,530,300,751,492,0.8,8.09
153,24,5,Car,872,685,1187,1003,0.8,30.51
154,24,6,Car,721,485,994,696,0.8,24.43
155,24,9,Car,426,301,555,371,0.8,20.96
156,24,11,Car,644,391,865,580,0.8,9.2
157,25,1,Car,1338,552,1651,826,0.8333,37.86
158,25,3,Car,995,320,1214,512,0.8333,16.07
159,25,4,Car,533,299,754,492,0.8333,11.63
160,25,5,Car,881,691,1192,1009,0.8333,41.26
161,25,6,Car,722,485,1001,701,0.8333,6.59
162,25,9,Car,430,302,555,370,0.8333,15.58
163,25,11,Car,646,394,867,584,0.8333,15.06
164,26,1,Car,1348,562,1653,828,0.8667,53.03
165,26,3,Car,1001,325,1212,512,0.8667,31.69
166,26,4,Car,537,301,757,492,0.8667,18.15
167,26,5,Car,894,709,1191,1013,0.8667,78.92
168,26,6,Car,725,489,1007,707,0.8667,20.23
169,26,9,Car,431,301,558,371,0.8667,7.05
170,26,11,Car,649,397,869,586,0.8667,16.83
171,27,1,Car,1358,572,1659,832,0.9,51.57
172,27,2,Car,299,260,447,361,0.9,51.57
173,27,3,Car,1006,326,1217,514,0.9,19.3
174,27,4,Car,539,303,758,494,0.9,12.36
175,27,5,Car,895,720,1196,1028,0.9,41.06
176,27,6,Car,729,494,1017,716,0.9,25.75
177,27,9,Car,431,298,563,372,0.9,7.74
178,27,11,Car,653,398,875,587,0.9,16.9
179,28,1,Car,1364,579,1665,838,0.9333,33.25
180,28,2,Car,302,261,447,362,0.9333,14.96
181,28,3,Car,1008,325,1222,518,0.9333,9.37
182,28,4,Car,545,307,761,495,0.9333,26.83
183,28,5,Car,898,729,1199,1035,0.9333,34.95
184,28,6,Car,730,496,1024,724,0.9333,8.78
185,28,9,Car,433,298,562,371,0.9333,7.5
186,28,11,Car,654,399,876,588,0.9333,7.11
187,29,1,Car,1367,585,1677,850,0.9667,25.96
188,29,2,Car,304,260,449,361,0.9667,10.17
189,29,3,Car,1013,328,1228,522,0.9667,22.7
190,29,4,Car,548,310,765,498,0.9667,18.85
191,29,5,Car,908,741,1204,1039,0.9667,55.98
192,29,6,Car,731,499,1029,731,0.9667,12.98
193,29,9,Car,437,298,564,371,0.9667,17.32
194,29,11,Car,654,405,884,600,0.9667,24.02
195,30,1,Car,1373,589,1690,858,1.0,28.67
196,30,2,Car,306,260,449,361,1.0,9.75
197,30,3,Car,1019,330,1240,528,1.0,23.81
